titulo,ano,nota,link
The Shawshank Redemption,1994,9.3,https://www.imdb.comtt0111161
The Godfather,1972,9.2,https://www.imdb.comtt0068646
The Dark Knight,2008,9.1,https://www.imdb.comtt0468569
The Godfather Part II,1974,9,https://www.imdb.comtt0071562
12 Angry Men,1957,9,https://www.imdb.comtt0050083
The Lord of the Rings: The Return of the King,2003,9,https://www.imdb.comtt0167260
Schindler's List,1993,9,https://www.imdb.comtt0108052
The Lord of the Rings: The Fellowship of the Ring,2001,8.9,https://www.imdb.comtt0120737
Pulp Fiction,1994,8.8,https://www.imdb.comtt0110912
"The Good, the Bad and the Ugly",1966,8.8,https://www.imdb.comtt0060196
The Lord of the Rings: The Two Towers,2002,8.8,https://www.imdb.comtt0167261
Forrest Gump,1994,8.8,https://www.imdb.comtt0109830
Fight Club,1999,8.8,https://www.imdb.comtt0137523
Inception,2010,8.8,https://www.imdb.comtt1375666
Star Wars: Episode V - The Empire Strikes Back,1980,8.7,https://www.imdb.comtt0080684
The Matrix,1999,8.7,https://www.imdb.comtt0133093
Goodfellas,1990,8.7,https://www.imdb.comtt0099685
Interstellar,2014,8.7,https://www.imdb.comtt0816692
One Flew Over the Cuckoo's Nest,1975,8.6,https://www.imdb.comtt0073486
Se7en,1995,8.6,https://www.imdb.comtt0114369
It's a Wonderful Life,1946,8.6,https://www.imdb.comtt0038650
The Silence of the Lambs,1991,8.6,https://www.imdb.comtt0102926
Seven Samurai,1954,8.6,https://www.imdb.comtt0047478
Saving Private Ryan,1998,8.6,https://www.imdb.comtt0120815
The Green Mile,1999,8.6,https://www.imdb.comtt0120689
City of God,2002,8.6,https://www.imdb.comtt0317248
Life Is Beautiful,1997,8.6,https://www.imdb.comtt0118799
Terminator 2: Judgment Day,1991,8.6,https://www.imdb.comtt0103064
Star Wars: Episode IV - A New Hope,1977,8.6,https://www.imdb.comtt0076759
Back to the Future,1985,8.5,https://www.imdb.comtt0088763
Spirited Away,2001,8.6,https://www.imdb.comtt0245429
The Pianist,2002,8.5,https://www.imdb.comtt0253474
Gladiator,2000,8.5,https://www.imdb.comtt0172495
Parasite,2019,8.5,https://www.imdb.comtt6751668
Psycho,1960,8.5,https://www.imdb.comtt0054215
Grave of the Fireflies,1988,8.5,https://www.imdb.comtt0095327
The Lion King,1994,8.5,https://www.imdb.comtt0110357
Harakiri,1962,8.6,https://www.imdb.comtt0056058
The Departed,2006,8.5,https://www.imdb.comtt0407887
Whiplash,2014,8.5,https://www.imdb.comtt2582802
